timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p25,latency_ns_p50,latency_ns_p75,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean,latency_ns_stddev,latency_sample_count,duplicate_count,gap_count,head_loss
1773884241,1,0,0,1566.17,9.73,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0
1773884242,1828,1792,0,1868.21,1792.25,463103,525311,599551,746495,858623,388352,4788223,547382.86,143448.67,1792,0,0,0
1773884243,3757,3712,0,1893.88,1918.48,448255,503551,583167,738303,896511,388352,4788223,532571.93,127636.41,3712,0,0,0
1773884244,5653,5632,0,1903.06,1921.06,446463,500479,580607,736255,907263,385280,4788223,530423.50,121512.81,5632,0,0,0
1773884245,7562,7552,0,1907.49,1920.63,446463,497151,576511,735231,915967,385280,4788223,528581.86,119414.02,7552,0,0,0
1773884246,9434,9408,0,1896.67,1853.88,447743,498687,578047,738303,911871,381696,4788223,529718.42,117003.41,9408,0,0,0
1773884247,11317,11264,0,1890.21,1858.13,447743,497407,575999,740351,922623,381696,4788223,529729.82,117834.20,11264,0,0,0
1773884247,13167,13120,0,1885.18,1855.23,449279,499199,578047,741887,921087,381696,4788223,531075.72,116317.60,13120,0,0,0
1773884248,15052,15040,0,1889.50,1919.52,449023,498175,578047,743423,921087,381696,4788223,531062.25,116349.98,15040,0,0,0
1773884249,16933,16896,0,1885.88,1857.06,449023,497407,577535,746495,922623,381696,4788223,531000.98,116469.98,16896,0,0,0
1773884250,18827,18816,0,1889.28,1919.75,448511,496639,577535,746495,922623,381696,4788223,530676.06,115970.43,18816,0,0,0
