timestamp,produced,consumed,in_flight,produce_rate,consume_rate,p50_ms,p95_ms,p99_ms
1773884344,4,0,4,2525.59,0.00,0.000,0.000,0.000
1773884345,20011,19998,13,20006.16,19997.97,0.221,1.521,2.640
1773884346,40010,39998,12,19999.61,20000.84,0.222,1.455,2.619
1773884347,60027,60012,15,20003.90,20000.85,0.217,1.423,2.609
1773884348,80041,80010,31,20015.14,19999.00,0.217,1.422,2.587
1773884349,100022,100001,21,19990.12,20000.29,0.215,1.420,2.585
1773884350,120024,120016,8,20009.32,20022.28,0.214,1.417,2.576
1773884351,140024,140016,8,19999.95,19999.47,0.214,1.420,2.576
1773884352,160011,160000,11,19981.24,19978.79,0.213,1.417,2.572
1773884353,180022,179944,78,20018.99,19951.96,0.214,1.412,2.572
1773884354,200003,199967,36,19979.41,20021.39,0.213,1.419,2.576
